,region,response,coverage,education,effective_to_date,month,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
2659,central,yes,basic,master,1/31/11,jan,disabled,m,suburban,divorced,corporate auto,corporate l3,offer1,call center,four-door car,small
2660,north west,no,basic,bachelor,1/11/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer3,web,four-door car,medsize
2661,central,yes,basic,college,1/26/11,jan,unemployed,f,suburban,married,personal auto,personal l3,offer2,agent,four-door car,medsize
2662,central,no,premium,master,1/25/11,jan,employed,f,suburban,married,personal auto,personal l3,offer3,agent,two-door car,medsize
2663,west region,no,extended,bachelor,2/27/11,feb,employed,m,urban,married,corporate auto,corporate l3,offer2,branch,two-door car,medsize
2664,west region,no,basic,bachelor,1/22/11,jan,unemployed,f,suburban,single,corporate auto,corporate l1,offer3,branch,four-door car,small
2665,west region,no,premium,master,1/15/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer1,branch,four-door car,medsize
2666,north west,yes,extended,bachelor,1/27/11,jan,unemployed,f,suburban,divorced,personal auto,personal l2,offer1,call center,two-door car,large
2667,north west,no,extended,college,1/27/11,jan,unemployed,f,suburban,married,personal auto,personal l2,offer1,agent,four-door car,medsize
2668,north west,no,basic,high school or below,1/19/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer3,call center,sports car,medsize
2669,east,no,basic,doctor,1/8/11,jan,employed,f,rural,married,personal auto,personal l2,offer2,agent,four-door car,medsize
2670,north west,no,basic,college,1/30/11,jan,employed,f,rural,single,personal auto,personal l3,offer2,branch,four-door car,medsize
2671,west region,no,basic,bachelor,1/6/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer3,call center,sports car,medsize
2672,west region,yes,extended,doctor,1/13/11,jan,unemployed,f,suburban,married,personal auto,personal l2,offer1,agent,four-door car,medsize
2673,north west,no,basic,bachelor,2/9/11,feb,employed,f,rural,married,personal auto,personal l3,offer2,call center,four-door car,medsize
2674,east,no,extended,bachelor,1/7/11,jan,unemployed,m,suburban,married,corporate auto,corporate l3,offer3,web,four-door car,medsize
2675,central,no,extended,bachelor,1/19/11,jan,unemployed,m,suburban,single,corporate auto,corporate l2,offer1,branch,four-door car,medsize
2676,central,no,extended,college,1/17/11,jan,unemployed,f,suburban,married,personal auto,personal l2,offer1,branch,four-door car,medsize
2677,north west,yes,extended,high school or below,1/12/11,jan,employed,m,suburban,single,personal auto,personal l3,offer1,agent,four-door car,medsize
2678,east,no,extended,high school or below,2/25/11,feb,unemployed,f,suburban,single,personal auto,personal l1,offer3,call center,two-door car,small
2679,north west,yes,extended,bachelor,2/14/11,feb,retired,m,suburban,married,corporate auto,corporate l3,offer2,agent,two-door car,medsize
2680,west region,no,basic,high school or below,1/22/11,jan,medical leave,m,suburban,married,personal auto,personal l3,offer1,agent,four-door car,small
2681,west region,yes,basic,master,2/3/11,feb,employed,f,suburban,married,corporate auto,corporate l3,offer2,agent,four-door car,small
2682,east,no,basic,master,2/9/11,feb,employed,f,rural,married,personal auto,personal l1,offer1,agent,suv,medsize
2683,west region,yes,basic,bachelor,2/14/11,feb,employed,f,urban,married,personal auto,personal l2,offer2,agent,four-door car,medsize
2684,central,yes,basic,college,2/25/11,feb,employed,m,suburban,divorced,corporate auto,corporate l2,offer1,agent,two-door car,medsize
2685,central,no,basic,high school or below,1/17/11,jan,employed,f,urban,married,personal auto,personal l2,offer1,web,suv,medsize
2686,west region,no,extended,college,1/17/11,jan,medical leave,m,suburban,married,special auto,special l1,offer1,branch,two-door car,large
2687,east,no,basic,college,2/24/11,feb,employed,f,urban,married,corporate auto,corporate l3,offer3,agent,four-door car,medsize
2688,central,no,basic,college,1/18/11,jan,employed,m,rural,married,personal auto,personal l2,offer2,branch,four-door car,medsize
2689,central,no,premium,high school or below,1/19/11,jan,disabled,f,urban,married,personal auto,personal l1,offer2,agent,four-door car,medsize
2690,central,no,basic,bachelor,2/25/11,feb,unemployed,m,suburban,married,personal auto,personal l1,offer3,branch,four-door car,small
2691,central,no,extended,high school or below,1/23/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer2,call center,luxury suv,medsize
2692,central,no,basic,college,2/10/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer3,agent,two-door car,medsize
2693,north west,no,basic,bachelor,2/1/11,feb,employed,f,suburban,divorced,personal auto,personal l2,offer3,branch,four-door car,medsize
2694,west region,no,basic,bachelor,2/18/11,feb,employed,f,urban,married,special auto,special l2,offer2,web,four-door car,medsize
2695,central,no,extended,high school or below,1/1/11,jan,medical leave,m,suburban,divorced,personal auto,personal l1,offer1,agent,two-door car,medsize
2696,east,no,extended,bachelor,1/2/11,jan,medical leave,m,suburban,divorced,corporate auto,corporate l2,offer1,branch,suv,medsize
2697,central,no,basic,high school or below,1/4/11,jan,disabled,m,suburban,married,personal auto,personal l1,offer2,call center,four-door car,small
2698,west region,no,basic,college,2/28/11,feb,employed,f,rural,married,corporate auto,corporate l3,offer4,branch,four-door car,large
2699,central,yes,basic,high school or below,1/24/11,jan,unemployed,m,suburban,married,personal auto,personal l1,offer2,web,sports car,medsize
2700,west region,no,extended,bachelor,1/23/11,jan,employed,m,suburban,married,personal auto,personal l1,offer3,agent,four-door car,small
2701,west region,yes,basic,bachelor,2/5/11,feb,employed,m,urban,divorced,corporate auto,corporate l1,offer1,agent,two-door car,medsize
2702,north west,no,basic,high school or below,1/15/11,jan,employed,f,urban,married,personal auto,personal l3,offer2,call center,four-door car,medsize
2703,central,no,premium,bachelor,2/24/11,feb,employed,m,rural,married,personal auto,personal l2,offer3,agent,four-door car,medsize
2704,west region,no,extended,high school or below,1/25/11,jan,unemployed,f,suburban,married,corporate auto,corporate l3,offer1,call center,two-door car,large
2705,central,no,basic,college,1/2/11,jan,employed,m,urban,married,personal auto,personal l3,offer2,call center,suv,medsize
2706,west region,no,basic,college,1/24/11,jan,unemployed,f,suburban,single,personal auto,personal l3,offer1,agent,suv,medsize
2707,north west,no,basic,high school or below,1/18/11,jan,unemployed,m,suburban,single,personal auto,personal l3,offer4,call center,two-door car,medsize
2708,central,no,basic,college,2/25/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer1,agent,two-door car,medsize
2709,central,no,extended,bachelor,1/10/11,jan,unemployed,m,suburban,married,personal auto,personal l3,offer2,web,two-door car,large
2710,central,no,basic,bachelor,1/5/11,jan,unemployed,f,suburban,single,personal auto,personal l1,offer1,call center,four-door car,small
2711,west region,no,basic,high school or below,1/1/11,jan,retired,f,suburban,married,personal auto,personal l3,offer2,agent,four-door car,medsize
2712,west region,no,basic,college,1/21/11,jan,unemployed,m,rural,divorced,personal auto,personal l3,offer1,call center,four-door car,medsize
2713,west region,no,basic,college,2/25/11,feb,employed,f,suburban,divorced,personal auto,personal l2,offer3,agent,four-door car,medsize
2714,central,no,basic,college,2/26/11,feb,employed,f,rural,married,corporate auto,corporate l3,offer4,call center,four-door car,medsize
2715,west region,no,basic,bachelor,1/6/11,jan,unemployed,m,suburban,single,personal auto,personal l2,offer3,call center,suv,small
2716,west region,no,basic,master,2/14/11,feb,employed,f,rural,married,personal auto,personal l3,offer4,branch,four-door car,medsize
2717,central,no,basic,master,2/10/11,feb,employed,f,suburban,married,personal auto,personal l3,offer4,call center,four-door car,medsize
2718,central,no,extended,high school or below,2/26/11,feb,employed,m,suburban,divorced,corporate auto,corporate l3,offer3,call center,two-door car,medsize
2719,east,no,basic,master,1/10/11,jan,employed,m,suburban,married,personal auto,personal l2,offer3,call center,two-door car,small
2720,west region,no,basic,bachelor,2/19/11,feb,unemployed,m,suburban,single,personal auto,personal l3,offer2,branch,sports car,medsize
2721,east,no,extended,high school or below,2/10/11,feb,unemployed,f,suburban,single,personal auto,personal l1,offer3,branch,two-door car,medsize
2722,west region,no,basic,college,2/11/11,feb,employed,m,rural,single,corporate auto,corporate l3,offer1,agent,two-door car,medsize
2723,north west,no,basic,college,1/21/11,jan,employed,m,rural,divorced,personal auto,personal l1,offer1,agent,four-door car,medsize
2724,north west,no,extended,college,1/31/11,jan,employed,m,suburban,married,personal auto,personal l3,offer3,web,four-door car,medsize
2725,north west,no,basic,bachelor,1/28/11,jan,medical leave,f,urban,married,personal auto,personal l3,offer1,agent,four-door car,medsize
2726,central,yes,extended,bachelor,2/17/11,feb,employed,f,suburban,married,personal auto,personal l1,offer2,agent,two-door car,medsize
2727,central,yes,extended,college,2/23/11,feb,retired,m,suburban,single,personal auto,personal l1,offer1,agent,four-door car,medsize
2728,north west,no,extended,bachelor,1/19/11,jan,unemployed,f,suburban,married,corporate auto,corporate l3,offer2,agent,four-door car,small
2729,west region,no,basic,college,1/26/11,jan,unemployed,f,suburban,married,personal auto,personal l2,offer1,agent,suv,small
2730,west region,no,basic,bachelor,1/14/11,jan,unemployed,m,suburban,single,personal auto,personal l1,offer2,web,four-door car,medsize
2731,central,no,basic,bachelor,1/25/11,jan,employed,f,rural,married,corporate auto,corporate l3,offer4,call center,two-door car,medsize
2732,central,yes,basic,master,1/17/11,jan,employed,f,suburban,single,personal auto,personal l1,offer2,branch,suv,large
2733,west region,no,extended,high school or below,1/27/11,jan,unemployed,f,suburban,single,corporate auto,corporate l3,offer2,branch,suv,medsize
2734,central,yes,extended,bachelor,1/26/11,jan,employed,f,suburban,divorced,personal auto,personal l3,offer1,agent,four-door car,medsize
2735,west region,no,extended,bachelor,1/17/11,jan,employed,f,suburban,single,personal auto,personal l3,offer2,branch,two-door car,medsize
2736,north west,no,basic,bachelor,1/26/11,jan,employed,m,rural,divorced,corporate auto,corporate l3,offer1,branch,two-door car,medsize
2737,east,no,extended,bachelor,1/18/11,jan,employed,m,urban,married,personal auto,personal l2,offer1,branch,suv,medsize
2738,central,no,extended,college,1/27/11,jan,employed,f,suburban,married,corporate auto,corporate l2,offer3,branch,four-door car,medsize
2739,west region,no,extended,bachelor,2/12/11,feb,employed,f,suburban,married,personal auto,personal l1,offer1,agent,sports car,large
2740,west region,no,extended,college,1/11/11,jan,unemployed,m,suburban,single,corporate auto,corporate l2,offer1,branch,suv,medsize
2741,central,no,extended,high school or below,2/23/11,feb,employed,f,suburban,married,personal auto,personal l2,offer2,branch,four-door car,medsize
2742,north west,no,basic,bachelor,2/8/11,feb,employed,m,suburban,single,personal auto,personal l3,offer1,agent,two-door car,medsize
2743,north west,yes,basic,high school or below,1/27/11,jan,unemployed,f,suburban,divorced,personal auto,personal l2,offer2,agent,four-door car,medsize
2744,west region,no,basic,college,1/21/11,jan,employed,m,suburban,divorced,personal auto,personal l3,offer3,agent,four-door car,medsize
2745,east,no,basic,master,1/14/11,jan,employed,m,rural,single,personal auto,personal l2,offer1,call center,four-door car,large
2746,north west,no,basic,bachelor,2/7/11,feb,unemployed,m,suburban,single,personal auto,personal l1,offer1,agent,two-door car,medsize
2747,north west,no,premium,high school or below,2/13/11,feb,unemployed,m,suburban,single,personal auto,personal l2,offer2,branch,four-door car,medsize
2748,central,no,basic,high school or below,2/9/11,feb,employed,f,suburban,married,personal auto,personal l2,offer4,branch,four-door car,small
2749,north west,no,extended,bachelor,2/10/11,feb,employed,m,urban,married,personal auto,personal l3,offer1,branch,suv,medsize
2750,north west,no,extended,college,2/19/11,feb,unemployed,m,suburban,married,corporate auto,corporate l3,offer2,agent,suv,small
2751,west region,no,extended,high school or below,2/15/11,feb,employed,f,urban,married,special auto,special l2,offer1,agent,suv,medsize
2752,central,yes,basic,college,2/10/11,feb,employed,f,rural,married,corporate auto,corporate l3,offer2,branch,suv,large
2753,central,no,basic,bachelor,1/31/11,jan,employed,m,suburban,married,corporate auto,corporate l3,offer3,agent,suv,medsize
2754,central,no,basic,bachelor,1/8/11,jan,employed,m,urban,single,corporate auto,corporate l3,offer2,branch,four-door car,medsize
2755,central,no,basic,bachelor,2/9/11,feb,employed,f,suburban,divorced,personal auto,personal l3,offer1,call center,two-door car,medsize
2756,west region,no,extended,college,2/25/11,feb,unemployed,m,suburban,married,personal auto,personal l2,offer1,call center,suv,medsize
2757,central,no,basic,bachelor,2/6/11,feb,unemployed,f,suburban,single,personal auto,personal l3,offer3,agent,four-door car,medsize
2758,east,no,extended,college,1/29/11,jan,employed,f,urban,single,personal auto,personal l3,offer1,branch,sports car,medsize
2759,central,no,basic,bachelor,2/17/11,feb,employed,m,rural,single,personal auto,personal l3,offer1,call center,sports car,medsize
2760,north west,no,extended,bachelor,2/9/11,feb,employed,m,rural,single,personal auto,personal l1,offer3,agent,suv,medsize
